
---------- Begin Simulation Statistics ----------
simSeconds                                   0.105481                       # Number of seconds simulated (Second)
simTicks                                 105481131000                       # Number of ticks simulated (Tick)
finalTick                                105481131000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    422.00                       # Real time elapsed on the host (Second)
hostTickRate                                249956569                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2534604                       # Number of bytes of host memory used (Byte)
simInsts                                    130071937                       # Number of instructions simulated (Count)
simOps                                      143767009                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   308229                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     340682                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        210962263                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.621889                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.616565                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       154159885                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  5475742                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      156359098                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1904921                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             15868617                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          34956961                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  24                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           210887666                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.741433                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.858556                       # Number of insts issued each cycle (Count)
system.cpu.branchPred.corrected_0::CallIndirect           36      0.00%     78.85% # Number of branches that got corrected but not yet commited. Branches get corrected by decode or after execute. Also a branch misprediction can be detected out-of-order. Therefore, a corrected branch might not end up beeing committed in case an even earlier branch was mispredicted (Count)
system.cpu.branchPred.corrected_0::DirectCond      1101215     21.14%    100.00% # Number of branches that got corrected but not yet commited. Branches get corrected by decode or after execute. Also a branch misprediction can be detected out-of-order. Therefore, a corrected branch might not end up beeing committed in case an even earlier branch was mispredicted (Count)
system.cpu.branchPred.corrected_0::DirectUncond          120      0.00%    100.00% # Number of branches that got corrected but not yet commited. Branches get corrected by decode or after execute. Also a branch misprediction can be detected out-of-order. Therefore, a corrected branch might not end up beeing committed in case an even earlier branch was mispredicted (Count)
system.cpu.branchPred.corrected_0::IndirectCond           21      0.00%    100.00% # Number of branches that got corrected but not yet commited. Branches get corrected by decode or after execute. Also a branch misprediction can be detected out-of-order. Therefore, a corrected branch might not end up beeing committed in case an even earlier branch was mispredicted (Count)
system.cpu.branchPred.corrected_0::IndirectUncond           83      0.00%    100.00% # Number of branches that got corrected but not yet commited. Branches get corrected by decode or after execute. Also a branch misprediction can be detected out-of-order. Therefore, a corrected branch might not end up beeing committed in case an even earlier branch was mispredicted (Count)
system.cpu.branchPred.corrected_0::total      5208324                       # Number of branches that got corrected but not yet commited. Branches get corrected by decode or after execute. Also a branch misprediction can be detected out-of-order. Therefore, a corrected branch might not end up beeing committed in case an even earlier branch was mispredicted (Count)
system.cpu.branchPred.earlyResteers_0::NoBranch            0                       # Number of branches that got redirected after decode. (Count)
system.cpu.branchPred.earlyResteers_0::Return            0                       # Number of branches that got redirected after decode. (Count)
system.cpu.branchPred.earlyResteers_0::CallDirect            0                       # Number of branches that got redirected after decode. (Count)
system.cpu.branchPred.earlyResteers_0::CallIndirect            0                       # Number of branches that got redirected after decode. (Count)
system.cpu.branchPred.earlyResteers_0::DirectCond            0                       # Number of branches that got redirected after decode. (Count)
system.cpu.branchPred.earlyResteers_0::DirectUncond            0                       # Number of branches that got redirected after decode. (Count)
system.cpu.branchPred.earlyResteers_0::IndirectCond            0                       # Number of branches that got redirected after decode. (Count)
system.cpu.branchPred.earlyResteers_0::IndirectUncond            0                       # Number of branches that got redirected after decode. (Count)
system.cpu.branchPred.earlyResteers_0::total            0                       # Number of branches that got redirected after decode. (Count)
system.cpu.branchPred.committed_0::NoBranch            0      0.00%      0.00% # Number of branches finally committed  (Count)
system.cpu.branchPred.committed_0::Return      5476378     16.67%     16.67% # Number of branches finally committed  (Count)
system.cpu.branchPred.committed_0::CallDirect      2738211      8.33%     25.00% # Number of branches finally committed  (Count)
system.cpu.branchPred.committed_0::CallIndirect          373      0.00%     25.00% # Number of branches finally committed  (Count)
system.cpu.branchPred.committed_0::DirectCond     20537272     62.50%     87.50% # Number of branches finally committed  (Count)
system.cpu.branchPred.committed_0::DirectUncond          470      0.00%     87.50% # Number of branches finally committed  (Count)
system.cpu.branchPred.committed_0::IndirectCond           21      0.00%     87.50% # Number of branches finally committed  (Count)
system.cpu.branchPred.committed_0::IndirectUncond      4106833     12.50%    100.00% # Number of branches finally committed  (Count)
system.cpu.branchPred.committed_0::total     32859558                       # Number of branches finally committed  (Count)
system.cpu.branchPred.mispredicted_0::NoBranch            0      0.00%      0.00% # Number of committed branches that were mispredicted. (Count)
system.cpu.branchPred.mispredicted_0::Return      4106701     99.98%     99.98% # Number of committed branches that were mispredicted. (Count)
system.cpu.branchPred.mispredicted_0::CallDirect           84      0.00%     99.98% # Number of committed branches that were mispredicted. (Count)
system.cpu.branchPred.mispredicted_0::CallIndirect           35      0.00%     99.98% # Number of committed branches that were mispredicted. (Count)
system.cpu.branchPred.mispredicted_0::DirectCond          652      0.02%    100.00% # Number of committed branches that were mispredicted. (Count)
system.cpu.branchPred.mispredicted_0::DirectUncond           70      0.00%    100.00% # Number of committed branches that were mispredicted. (Count)
system.cpu.branchPred.mispredicted_0::IndirectCond           21      0.00%    100.00% # Number of committed branches that were mispredicted. (Count)
system.cpu.branchPred.mispredicted_0::IndirectUncond           73      0.00%    100.00% # Number of committed branches that were mispredicted. (Count)
system.cpu.branchPred.mispredicted_0::total      4107636                       # Number of committed branches that were mispredicted. (Count)
system.cpu.branchPred.targetProvider_0::NoTarget     39701506     67.44%     67.44% # The component providing the target for taken branches (Count)
system.cpu.branchPred.targetProvider_0::BTB      9585118     16.28%     83.72% # The component providing the target for taken branches (Count)
system.cpu.branchPred.targetProvider_0::RAS      5477577      9.30%     93.02% # The component providing the target for taken branches (Count)
system.cpu.branchPred.targetProvider_0::Indirect      4107106      6.98%    100.00% # The component providing the target for taken branches (Count)
system.cpu.branchPred.targetProvider_0::total     58871307                       # The component providing the target for taken branches (Count)
system.cpu.branchPred.targetWrong_0::NoBranch      1101658     21.15%     21.15% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.targetWrong_0::Return            5      0.00%     21.15% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.targetWrong_0::CallDirect      4106661     78.85%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.targetWrong_0::CallIndirect            0      0.00%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.targetWrong_0::DirectCond            0      0.00%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.targetWrong_0::DirectUncond            0      0.00%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.targetWrong_0::IndirectCond            0      0.00%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.targetWrong_0::IndirectUncond            0      0.00%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.targetWrong_0::total      5208324                       # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.condPredicted          39703087                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condPredictedTaken      4108475                       # Number of conditional branches predicted as taken (Count)
system.cpu.branchPred.condIncorrect           5208324                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.predTakenBTBMiss            266                       # Number of branches predicted taken but missed in BTB (Count)
system.cpu.branchPred.NotTakenMispredicted      5208290                       # Number branches predicted 'not taken' but turned out to be taken (Count)
system.cpu.branchPred.TakenMispredicted            34                       # Number branches predicted taken but are actually not taken (Count)
system.cpu.branchPred.BTBLookups             58871307                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBUpdates              1101475                       # Number of BTB updates (Count)
system.cpu.branchPred.BTBHits                13693162                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.232595                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.BTBMispredicted             506                       # Number BTB mispredictions. No target found or target wrong (Count)
system.cpu.branchPred.indirectLookups         6845011                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits            4107106                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses          2737905                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted            0                       # Number of mispredicted indirect branches. (Count)
system.cpu.branchPred.btb.lookups::NoBranch            0      0.00%      0.00% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::Return      5477660      9.30%      9.30% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::CallDirect      6844748     11.63%     20.93% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::CallIndirect          398      0.00%     20.93% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::DirectCond     39702640     67.44%     88.37% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::DirectUncond         1227      0.00%     88.37% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::IndirectCond           34      0.00%     88.37% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::IndirectUncond      6844600     11.63%    100.00% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::total     58871307                       # Number of BTB lookups (Count)
system.cpu.branchPred.btb.misses::NoBranch            0      0.00%      0.00% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::Return      5477660     12.12%     12.12% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::CallDirect      1369115      3.03%     15.16% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::CallIndirect          398      0.00%     15.16% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::DirectCond     31486143     69.69%     84.85% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::DirectUncond          195      0.00%     84.85% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::IndirectCond           34      0.00%     84.85% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::IndirectUncond      6844600     15.15%    100.00% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::total      45178145                       # Number of BTB misses (Count)
system.cpu.branchPred.btb.updates::NoBranch            0      0.00%      0.00% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::Return            0      0.00%      0.00% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::CallDirect          145      0.01%      0.01% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::CallIndirect            0      0.00%      0.01% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::DirectCond      1101210     99.98%     99.99% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::DirectUncond          120      0.01%    100.00% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::IndirectCond            0      0.00%    100.00% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::IndirectUncond            0      0.00%    100.00% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::total      1101475                       # Number of BTB updates (Count)
system.cpu.branchPred.btb.mispredict::NoBranch            0      0.00%      0.00% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::Return            0      0.00%      0.00% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::CallDirect          145      0.01%      0.01% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::CallIndirect            0      0.00%      0.01% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::DirectCond      1101210     99.98%     99.99% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::DirectUncond          120      0.01%    100.00% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::IndirectCond            0      0.00%    100.00% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::IndirectUncond            0      0.00%    100.00% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::total      1101475                       # Number of BTB mispredictions. No target found or target wrong. (Count)
